number,name,parent_group,type,sub_type,sub_type_2,source,note
5201,Property Taxes,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5202,Insurance Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5203,HOA Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5204,Landscaping Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5205,Utilities Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5206,Repairs and Maintenance Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5207,Trash Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5208,Snow Removal Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5209,Cleaning Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5210,Marketing Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5211,Professional Fees,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5212,Bank Fees,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5213,Postage & Delivery Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5214,Software Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5215,Supplies Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5216,Travel Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5217,Meals and Entertainment Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5218,Training Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5219,Membership Fee Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5220,Township Fees Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5221,Consulting Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5222,Miscellaneous Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5223,Legal Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5224,Inspection Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5225,Donations Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2019-2024 workbook,
5301,Dep Building Expense,5300 Depreciation Expense,Expense,Expense,Depreciation Expense,2019-2024 workbook,
5302,Dep Personal Furnishin Expense,5300 Depreciation Expense,Expense,Expense,Depreciation Expense,2019-2024 workbook,
5303,Dep Appliance Fixtures Expense,5300 Depreciation Expense,Expense,Expense,Depreciation Expense,2019-2024 workbook,
5304,Dep Building Improv Expense,5300 Depreciation Expense,Expense,Expense,Depreciation Expense,2019-2024 workbook,
5305,Dep Equipment Expense,5300 Depreciation Expense,Expense,Expense,Depreciation Expense,2019-2024 workbook,
1313,Office Furniture & Equipment,1300 Property Assets,Asset,Fixed Asset,Property Assets,2025 ledger,parent/type INFERRED - confirm
1315,Property - Artwork,1300 Property Assets,Asset,Fixed Asset,Property Assets,2025 ledger,parent/type INFERRED - confirm (created 2025-09-10 for Harrison Center / Moncasso pieces)
4103,Property Maintenance Income,4100 Income,Income,Income,Income,2025 ledger,parent/type INFERRED - confirm (SRC maintenance work paid to SREI)
5226,Wages Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2025 ledger,parent/type INFERRED - confirm (booked at NET pay in 2025; gross needed for return)
5227,Payroll Tax Expense,5200 Operating Expenses,Expense,Expense,Operating Expenses,2025 ledger,parent/type INFERRED - confirm
1104,Venmo,1100 Bank Accounts,Asset,Bank,Bank Accounts,PROPOSED,"PROPOSED new account: 2025 ledger has 38 rows with bank account = Venmo (Shed sports rentals, security deposits). Confirm number/name with Jose"
